NAME,Distance
Kingston upon Thames,16.120437586933807
Croydon,13.577898505081127
Bromley,12.354636526967814
Hounslow,16.208471800412084
Ealing,13.822599716951835
Havering,10.15437468584125
Hillingdon,18.66663257437452
Harrow,14.597311776905597
Brent,11.029239289455884
Barnet,9.776177759652187
Lambeth,7.883352774613595
Southwark,5.710051948460101
Lewisham,6.786887100963006
Greenwich,5.878106057751985
Bexley,8.947255756977947
Enfield,7.927782838107271
Waltham Forest,3.310297339711246
Redbridge,4.692957984054545
Sutton,14.581721945749106
Richmond upon Thames,14.818324053498872
Merton,12.334361222585386
Wandsworth,9.957839064195904
Hammersmith and Fulham,9.642657935152902
Kensington and Chelsea,8.354218434756884
Westminster,6.785015407138683
Camden,6.238709773854719
Tower Hamlets,2.233460020029324
Islington,4.208322827809285
Hackney,2.222675709384334
Haringey,5.1011101333528615
Newham,2.4476257841143427
Barking and Dagenham,6.303024064830664
City of London,4.053340123640467
